symbol,strategy,model_branch,signals_evaluated,signals_generated,executable_intents,blocked_intents,avg_signal_strength,avg_expected_return,avg_fee_adjusted_expected_return,realized_pnl,average_win,average_loss,expectancy,profit_factor,drawdown,closing_legs,blocked_intent_rate_pct,intent_conversion_rate_pct,winners,losers
PROS-USD,ml_enhanced_orderbook,unknown,39,9,0,9,0.1247362144,-0.0679850094,0.1826572678,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PROVE-USD,ml_enhanced_orderbook,unknown,39,13,0,13,0.1416302231,0.1408457630,0.1414840853,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PUMP-USD,ml_enhanced_orderbook,unknown,39,4,0,4,0.1219893461,0.1238188893,0.1697342125,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PUNDIX-USD,ml_enhanced_orderbook,unknown,39,10,0,10,0.1308815462,0.1425145078,0.1210345687,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PYR-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.7643322563,0.7217788956,0.6990155837,0.0,,,,,0.0,0,100.000000,0.000000,0,0
PYTH-USD,ml_enhanced_orderbook,unknown,38,14,0,14,0.1393931304,0.2015276775,0.1823846022,0.0,,,,,0.0,0,100.000000,0.000000,0,0
QI-USD,ml_enhanced_orderbook,unknown,39,2,0,2,0.1569844010,0.1312158927,0.0396446772,0.0,,,,,0.0,0,100.000000,0.000000,0,0
QNT-USD,ml_enhanced_orderbook,unknown,39,9,0,9,0.1565225763,-0.2539571491,0.2360440599,0.0,,,,,0.0,0,100.000000,0.000000,0,0
RAD-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0951582228,,,0.0,,,,,0.0,0,,,0,0
RARE-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.3347583597,-0.2763434561,0.2512174776,0.0,,,,,0.0,0,100.000000,0.000000,0,0
RARI-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.1272705197,,,0.0,,,,,0.0,0,,,0,0
